rooms,square,living_space,kitchen_scace,curr_floor,max_floor,home_type,build_year,district,serv_lift,pass_lift,parking,loggia,balcony,garbage_chute,bathroom,repair_type,wind_view,emergency_exit,avg_price_for_m,avg_room_price,price
1,44.0,18.0,15.0,10,12,Кирпичный,1981,Ворошиловский,0,1,0,0,1,1,1,Косметический,На улицу,1,257326.0,22605996.0,265000.0
3,57.0,43.0,6.5,3,5,nan,1960,Ворошиловский,0,0,0,0,1,0,nan,nan,nan,1,257326.0,39199032.0,280000.0
1,36.0,16.0,8.8,7,17,Монолитный,1977,Кировский,1,1,1,1,0,0,1,Косметический,Во двор,nan,257326.0,39199032.0,300000.0
2,48.0,28.0,7.0,4,9,nan,nan,Ворошиловский,0,0,0,0,0,0,nan,nan,nan,1,257326.0,30920232.0,320000.0
3,64.0,40.0,10.0,6,9,nan,nan,Советский,0,0,0,0,0,0,nan,nan,nan,1,255918.0,37864745.0,350000.0
2,78.0,44.0,14.0,26,28,Кирпичный,2015,Железнодорожный,0,1,0,1,0,0,1,nan,nan,1,255976.0,30364565.0,400000.0
3,64.0,47.0,7.5,4,9,nan,nan,Кировский,0,0,0,0,0,0,nan,nan,nan,1,268787.0,49283058.0,430000.0
4,170.0,100.0,12.0,4,5,nan,1950,Ленинский,0,0,0,0,1,0,nan,nan,nan,1,265095.0,73397862.0,800000.0
3,132.0,100.0,15.0,13,17,nan,2009,Ленинский,1,1,0,1,0,0,nan,nan,nan,1,265095.0,4812258.0,1645000.0
2,59.6,33.0,10.7,4,15,nan,nan,Ленинский,1,1,1,0,1,0,nan,nan,nan,nan,nan,nan,469197.0
3,83.53,55.8,12.1,25,25,nan,nan,Ленинский,0,1,1,1,0,0,nan,nan,nan,1,265095.0,4812258.0,494344.0
3,87.0,nan,16.0,4,4,nan,nan,Кировский,0,0,0,1,1,0,nan,nan,nan,1,268787.0,49283058.0,540000.0
2,70.0,34.0,17.0,18,25,Монолитно,2018,Пролетарский,1,1,1,0,1,0,1,Дизайнерский,Во двор,nan,268787.0,49283058.0,555000.0
3,117.6,59.2,12.7,6,23,nan,nan,Кировский,0,1,1,0,1,0,nan,nan,nan,1,268787.0,49283058.0,800000.0
3,104.9,36.6,30.3,7,15,nan,nan,Ленинский,1,1,1,1,1,0,nan,nan,nan,nan,268787.0,49283058.0,839560.0
4,136.0,nan,nan,3,22,nan,2017,Кировский,0,1,0,1,0,0,nan,nan,nan,1,268787.0,83141856.0,1200000.0
2,54.0,30.0,11.0,2,17,nan,2019,Октябрьский,1,1,1,1,0,0,1,Евроремонт,nan,nan,268787.0,83141856.0,239890.0
1,29.0,15.0,9.0,3,17,Блочный,2019,Октябрьский,1,1,1,1,0,0,nan,Евроремонт,nan,nan,268787.0,83141856.0,139800.0
3,81.0,42.0,12.0,3,17,nan,2019,Октябрьский,1,1,1,1,0,0,1,Евроремонт,nan,nan,268787.0,83141856.0,299890.0
1,40.38,18.1,11.9,3,22,nan,2017,Пролетарский,1,1,1,1,0,0,nan,nan,nan,nan,268787.0,83141856.0,325000.0
3,68.0,39.5,12.0,5,19,nan,2017,Советский,1,1,1,1,0,0,nan,nan,nan,nan,268787.0,83141856.0,403300.0
1,35.67,17.8,10.0,15,18,nan,2019,Октябрьский,1,1,1,1,0,0,nan,Евроремонт,На улицу,nan,268787.0,83141856.0,166900.0
1,37.1,15.1,9.3,3,22,nan,2019,Пролетарский,0,0,1,1,0,0,nan,nan,nan,nan,268787.0,83141856.0,192920.0
1,38.0,15.7,9.3,4,22,nan,2019,Первомайский,1,1,1,1,0,0,nan,nan,nan,nan,268787.0,83141856.0,197600.0
2,44.0,22.0,8.0,2,18,nan,2018,Советский,1,1,1,1,0,0,nan,nan,nan,nan,268787.0,83141856.0,227500.0
1,40.6,17.9,11.2,14,24,nan,2018,Пролетарский,1,1,0,1,0,0,nan,nan,nan,nan,268787.0,83141856.0,227244.0
1,41.76,16.5,12.6,15,22,nan,2018,Пролетарский,1,1,1,1,0,0,nan,nan,nan,nan,268787.0,83141856.0,233184.0
2,51.3,26.4,10.6,11,22,nan,2019,Пролетарский,1,1,1,1,0,0,nan,nan,nan,nan,268787.0,83141856.0,261630.0
2,52.9,25.1,9.5,19,22,nan,2019,Первомайский,1,1,1,1,0,0,nan,nan,nan,nan,268787.0,83141856.0,269790.0
2,64.0,29.5,14.0,11,18,nan,2019,Октябрьский,1,1,1,0,1,0,1,Евроремонт,На улицу и двор,nan,268787.0,83141856.0,269500.0
1,46.16,12.6,12.8,3,24,nan,nan,Пролетарский,0,1,1,1,0,0,nan,nan,nan,nan,nan,nan,293200.0
2,28.0,nan,nan,4,5,nan,1965,Первомайский,0,0,0,0,1,0,nan,nan,nan,1,253643.0,2815124.0,130000.0
1,20.0,nan,nan,3,5,Кирпичный,1965,Ворошиловский,0,0,1,0,0,0,nan,Косметический,Во двор,nan,253643.0,2815124.0,137000.0
0,27.1,16.0,nan,2,14,nan,nan,Советский,0,1,1,0,1,0,nan,nan,nan,nan,253643.0,2815124.0,143359.0
0,29.0,20.1,nan,1,14,nan,nan,Советский,0,1,1,0,0,0,nan,nan,nan,nan,253643.0,2815124.0,140650.0
1,30.0,17.0,6.0,2,9,Панельный,1985,Ворошиловский,0,1,0,1,0,1,nan,Косметический,Во двор,1,257326.0,22605996.0,140000.0
1,24.0,12.0,5.0,2,5,nan,1970,Ворошиловский,0,0,0,0,0,0,nan,nan,nan,nan,257326.0,22605996.0,140000.0
0,28.69,20.6,nan,2,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,257326.0,22605996.0,148940.0
